"species","distance","core_genome","soft_core_genome","shell_genome","cloud_genome","pangenome","indelrates"
"saureus",0.82908,2134,46,948,998,4126,27.10396
"saureus",0.83391,2145,55,819,1162,4181,32.77531
"saureus",1.39648,2082,88,904,1490,4564,1.243098
"saureus",1.01479,2118,86,875,1051,4130,1.564033
"saureus",1.02501,2106,71,929,982,4088,1.658013
"saureus",1.06179,2144,48,880,779,3851,1.56042
"saureus",1.0428,2135,60,820,1040,4055,1.699242
"saureus",1.10807,2104,100,699,1117,4020,34.5175
"saureus",1.15829,2109,84,874,999,4066,1.137041
"saureus",1.01332,2138,60,869,1008,4075,1.662113
"saureus",1.01021,2126,61,907,1192,4286,1.696199
"saureus",1.2271,2105,61,896,926,3988,0.9256784
"saureus",1.05596,2134,59,983,742,3918,1.201615
"saureus",0.83216,2136,44,919,1059,4158,32.82232
"saureus",0.83297,2141,80,828,1080,4129,31.33587
"saureus",1.24895,2099,82,935,1066,4182,1.158616
"saureus",1.07468,2124,72,896,1020,4112,32.78158
"saureus",1.2288,2121,55,990,1216,4382,1.405364
"saureus",1.10046,2125,89,771,1076,4061,1.355884
"saureus",0.84601,2129,79,875,912,3995,30.45598
"saureus",0.99121,2099,93,945,1325,4462,2.114088
"saureus",0.68313,2172,65,814,929,3980,28.71696
"saureus",0.66447,2178,27,773,870,3848,37.86746
"ypestis",1.04131,3337,217,840,745,5139,3.228821
"ypestis",0.65235,3242,314,799,715,5070,1.640817
"ypestis",1.03223,3184,230,1010,801,5225,1.759825
"ypestis",0.93802,3245,294,850,725,5114,1.909075
"ypestis",1.06595,3261,205,927,743,5136,4.377498
"ypestis",1.02432,3231,212,1000,754,5197,2.868115
"ypestis",0.95028,3293,129,1030,716,5168,3.077536
"ypestis",0.99822,3251,284,840,741,5116,2.308969
"ypestis",1.05071,3343,217,817,713,5090,3.271578
"ypestis",1.09778,3212,213,1032,772,5229,2.001791
"ypestis",0.90114,3273,254,886,733,5146,1.845647
"ypestis",1.01959,3226,271,934,761,5192,2.262655
"ypestis",0.98005,3254,148,1075,805,5282,2.095414
"ypestis",0.6393,3388,161,826,631,5006,2.88
"ypestis",1.08148,3188,330,889,850,5257,2.556357
"ypestis",1.0438,3228,313,839,732,5112,2.908028
"ypestis",1.09275,3233,271,942,783,5229,2.833272
"ypestis",1.12817,3228,180,1056,764,5228,3.166092
"ypestis",0.96249,3275,203,926,771,5175,3.663922
"ypestis",1.00238,3327,130,969,610,5036,2.910322
"ypestis",1.00125,3266,150,1045,751,5212,2.869089
"ypestis",0.93244,3262,299,803,715,5079,2.246947
"ypestis",1.07505,3200,315,902,795,5212,2.677286
"ypestis",0.8827,3174,326,913,826,5239,2.130294
"ypestis",0.70876,3302,204,935,702,5143,2.997198
"ypestis",0.97891,3311,147,977,665,5100,1.704793
"ypestis",1.10142,3392,201,790,653,5036,3.163152
"ypestis",0.6025,3413,175,767,590,4945,2.615372
"ypestis",1.07363,3314,151,935,616,5016,2.913066
"ypestis",1.06197,3202,204,1059,743,5208,2.896182
"ypestis",1.02085,3272,267,831,704,5074,2.584676
"ypestis",0.92959,3273,151,1042,658,5124,3.279091
"ypestis",0.60724,3255,267,907,742,5171,1.991761
"ypestis",0.94933,3250,264,906,714,5134,1.741857
"ypestis",1.11811,3201,295,927,863,5286,2.251673
"ypestis",1.08935,3203,206,1031,781,5221,2.160109
"ypestis",1.09741,3254,299,818,803,5174,2.656855
"ypestis",1.05506,3261,142,1061,808,5272,2.355155
"ypestis",1.02343,3200,321,903,839,5263,2.252339
"ypestis",1.06723,3181,233,1006,725,5145,1.747469
"ypestis",1.04645,3375,71,964,578,4988,2.450664
"ypestis",0.99631,3203,309,893,847,5252,2.109293
"ypestis",1.07553,3266,247,887,726,5126,2.64575
"ypestis",1.07942,3221,196,1036,762,5215,1.969049
"ypestis",0.98608,3169,322,949,840,5280,2.016187
"ypestis",1.06233,3380,60,973,591,5004,3.810073
"ypestis",1.09674,3297,229,884,662,5072,2.854012
"ypestis",1.08009,3293,141,1027,633,5094,3.251289
"ypestis",0.97035,3211,317,886,794,5208,1.873365
"ypestis",0.91551,3265,170,997,731,5163,2.173852
"ypestis",1.09694,3259,159,1010,730,5158,3.247748
"ypestis",1.01009,3409,156,807,706,5078,2.567315
"ypestis",1.06214,3276,179,942,652,5049,2.221913
"ypestis",1.07408,3207,342,836,852,5237,2.06095
"ypestis",1.00134,3299,249,862,799,5209,3.556452
"ypestis",1.11615,3323,226,872,661,5082,2.317528
"ypestis",0.64135,3259,175,955,817,5206,3.06565
"ypestis",1.06041,3212,195,1052,797,5256,5.029138
"ypestis",0.96309,3170,199,1125,880,5374,1.856051
"ypestis",1.01046,3219,298,875,894,5286,1.8515
"ypestis",1.04754,3338,94,995,683,5110,2.772405
"ypestis",1.03266,3306,251,817,763,5137,2.461424
"ypestis",0.96401,3183,331,888,791,5193,2.445741
"ypestis",1.07755,3393,177,802,565,4937,3.505874
"ypestis",0.9499,3322,234,833,660,5049,2.559755
"ypestis",1.08068,3325,223,859,661,5068,3.026127
"ypestis",1.07638,3193,316,877,838,5224,1.7994
"ypestis",0.92275,3186,341,864,824,5215,1.645421
"ypestis",1.03945,3255,135,1094,800,5284,2.045463
"ypestis",1.03705,3264,255,916,703,5138,2.077024
"ypestis",1.09925,3272,253,858,768,5151,1.849455
"ypestis",1.08464,3320,127,973,710,5130,3.433765
"ypestis",0.56461,3324,255,781,651,5011,1.761421
"ypestis",1.00151,3285,114,1060,810,5269,2.069672
"ypestis",0.62598,3199,200,1063,823,5285,1.629777
"ypestis",0.97606,3292,202,941,751,5186,1.698376
"ypestis",1.043,3446,146,774,591,4957,2.412464
"ypestis",1.00175,3151,359,921,889,5320,2.419738
"ypestis",0.9174,3354,248,740,691,5033,2.737925
"ypestis",1.03182,3232,180,1040,855,5307,1.920073
"ypestis",1.10688,3288,212,937,711,5148,2.406586
"ypestis",1.02057,3227,259,957,779,5222,2.118627
"ypestis",1.02218,3262,187,950,737,5136,2.044972
"ypestis",1.06764,3233,293,868,691,5085,1.918244
"ypestis",0.72563,3265,145,1050,779,5239,1.954956
"ypestis",0.92041,3227,264,918,780,5189,1.524975
"ypestis",1.01542,3253,198,972,712,5135,1.692109
"ypestis",1.0965,3285,235,918,685,5123,2.427384
"ypestis",1.08857,3240,239,987,833,5299,2.071175
"ypestis",0.9864,3406,165,810,540,4921,3.329879
"ypestis",1.08872,3235,299,840,808,5182,2.083294
"ypestis",1.04546,3259,290,847,782,5178,5.267449
"ypestis",0.97119,3209,279,970,802,5260,2.128133
"ypestis",1.07286,3388,206,764,595,4953,3.146852
"ypestis",1.02447,3271,279,837,753,5140,2.775535
"ypestis",0.95927,3210,176,1082,733,5201,1.818482
"ypestis",0.96142,3306,255,804,629,4994,2.564572
"ypestis",1.06228,3300,228,879,715,5122,2.366401
"ypestis",1.07958,3263,132,1081,704,5180,2.414772
"ypestis",0.975,3327,249,810,671,5057,2.783835
"hpylori",1.6322,878,58,1173,3160,5269,0.8972196
"hpylori",1.75594,841,115,869,3633,5458,0.8563162
"hpylori",1.67358,840,45,1263,2987,5135,0.9059985
"hpylori",1.74276,904,74,903,3550,5431,0.9014618
"hpylori",1.94793,847,83,1020,3633,5583,0.8014855
"hpylori",1.66404,862,92,974,3127,5055,0.8831866
"hpylori",1.82951,830,71,1088,3583,5572,0.8162432
